first,returns the first element of array
last,returns the last element of an array
length,returns the number of elements in array
empty?,returns true if array contains no elements
include?,returns true if the given object is present in the array
<<,pushes the given object on to the end the array
sort,returns a new array created by sorting the original array
delete,deletes all items from the array that are equal to a given object
pop,removes the last element from the array and returns it
shift,removes the first element of array and returns it
to_h,returns the result of interpreting an array as key value pairs in a hash
join,returns the array as a string
each,calls the given block once for each element in the array passing that element as a parameter
select,returns a new array containing all elements of the array for which the given block returns a true answer
reject,returns a new array containing the items in the array for which the given block is not true
map,inovkes the given block once for each element of the array
